Date,Discharge (mWh),Battery (%),Time Delta
2024-07-10 14:25:42,68.55555555555556,80,0.6855555555555556
2024-07-10 15:53:50,5728.666666666667,41,1.468888888888889
2024-07-10 16:30:35,61.25000000000001,40,0.6125
2024-07-10 19:10:50,7745.416666666667,68,2.6708333333333334
2024-07-10 20:22:09,118.8611111111111,67,1.188611111111111
2024-07-10 21:10:10,5568.5,94,9.280833333333334
2024-07-10 21:37:23,544.3333333333334,82,0.45361111111111113
2024-07-10 22:06:31,582.6666666666667,70,0.4855555555555556
2024-07-10 22:15:01,14.16666666666667,69,0.1416666666666667
2024-07-10 22:40:29,42.44444444444444,68,0.42444444444444446
2024-07-10 23:09:50,782.6666666666667,52,0.4891666666666667
2024-07-10 16:47:49,5503.0,81,3.0572222222222223
2024-07-10 17:12:08,729.5,63,0.4052777777777778
2024-07-10 21:11:35,17559.666666666668,56,3.9908333333333332
2024-07-10 21:42:04,50.80555555555556,55,0.5080555555555556
2024-07-10 12:11:11,311.11111111111114,28,0.3111111111111111
2024-07-10 12:15:21,6.944444444444445,27,0.06944444444444445
