Date,Battery Degradation (%)
2024-07-10 15:53:50,
2024-07-10 16:30:35,-2.4390243902439046
2024-07-10 19:10:50,70.0
2024-07-10 20:22:09,-1.4705882352941124
2024-07-10 21:10:10,40.29850746268657
2024-07-10 21:37:23,-12.765957446808507
2024-07-10 22:06:31,-14.634146341463417
2024-07-10 22:15:01,-1.4285714285714235
2024-07-10 22:40:29,-1.449275362318836
2024-07-10 23:09:50,-23.529411764705888
2024-07-10 16:47:49,55.769230769230774
2024-07-10 17:12:08,-22.22222222222222
2024-07-10 21:11:35,-11.111111111111116
2024-07-10 21:42:04,-1.7857142857142905
2024-07-10 12:11:11,-49.09090909090909
2024-07-10 12:15:21,-3.57142857142857
